Capoluogo;Sigla;Latitudine;Longitudine;Provincia
Agrigento;AG;37.18 N;13.36 E;0
Alessandria;AL;44.55 N;08.37 E ;0
Ancona;AN;43.37 N;13.31 E;1
Aosta;AO;45.44 N;07.19 E ;1
Arezzo;AR;43.28 N;11.53 E ;0
Ascoli Piceno;AP;42.51 N;13.34 E;0
Asti;AT;44.53 N ;08.12 E;0
Avellino;AV;40.55 N;14.47 E;0
Bari;BA;41.07 N;16.53 E ;1
Belluno;BL;46.08 N;12.13 E;0
Benevento;BN;41.08 N;14.46 E;0
Bergamo;BG;45.42 N;09.40 E ;0
Biella;BI;45.34 N ;08.03 E ;0
Bologna;BO;44.30 N;11.21 E;1
Bolzano;BZ;46.30 N;11.20 E ;0
Brescia;BS;45.32 n;10.12 E ;0
Brindisi;BR;40.39 N;17.56 E ;0
Cagliari;CA;39.13 N ;09.07 E ;1
Caltanissetta;Cl;37.29 N ;14.04 E ;0
Campobasso;CB;41.34 N ;14.39 E ;1
Caserta;CE;41.04 N;14.19 E ;0
Catania;CT;37.30 N;15.05 E ;0
Catanzaro;CZ;38.54 N ;16.35 E ;1
Chieti;CH;42.21 N ;14.10 E ;0
Como;Co;45.48 N;09.05 E ;0
Cosenza;CS;39.17 N ;16.15 E;0
Cremona;CR;45.08 N;10.02 E;0
Crotone;KR;39.05 N;17.08 E ;0
Cuneo;CN;44.24 N ;07.33 E ;0
Enna;EN;37.34 N ;14.16 E ;0
Ferrara;FE;44.50 N ;11.38 E ;0
Firenze;FI;43.46 N ;11.15 E ;1
Foggia;FG;41.28 N ;15.33 E ;0
Forli';FO;44.13 N ;12.03 E;0
Frosinone;FR;41.38 N;13.22 E ;0
Genova;GE;44.25 N;08.55 E;1
Gorizia;GO;45.57 N ;13.38 E ;0
Grosseto;GR;42.46 N;11.07 E ;0
Imperia;IM;43.53 N ;08.01 E ;0
Isernia;IS;41.36 N ;14.14 E ;0
L'Aquila;AQ;42.21 N ;13.24 E ;1
La Spezia;SP;44.07 N ;09.50 E ;0
Latina;LT;41.28 N ;12.53 E ;0
Lecce;LE;40.21 N ;18.11 E ;0
Lecco;LC;45.51 N ;09.23 E ;0
Livorno;LI;43.33 N ;10.19 E ;0
Lodi;LO;45.19 N ;09.30 E ;0
Lucca;LU;43.51 N ;10.31 E ;0
Macerata;MC;43.18 N ;13.27 E ;0
Mantova;MN;45.09 N ;10.47 E ;0
Massa;MS;44.20 N ;10.05 E ;0
Matera;MT;40.41 N ;16.36 E ;0
Messina;ME;38.11 N ;15.34 E ;0
Milano;MI;45.28 N ;09.11 E ;1
Modena;MO;44.39 N ;10.55 E ;0
Napoli;NA;40.21 N ;14.15 E ;1
Novara;NO;45.27 N ;08.38 E ;0
Nuoro;NU;40.19 N ;09.16 E ;0
Oristano;OR;39.54 N ;08.36 E ;0
Padova;PD;45.24 N ;11.53 E ;0
Palermo;PA;38.07 N ;13.21 E ;1
Parma;PR;44.48 N ;10.21 E ;0
Pavia;PV;45.11 N ;09.10 E ;0
Perugia;PG;43.07 N ;12.24 E ;1
Pesaro;PS;43.54 N ;12.55 E ;0
Pescara;PE;42.27 N ;14.13 E ;0
Piacenza;PC;45.03 N ;09.41 E ;0
Pisa;PI;43.43 N ;10.24 E ;0
Pistoia;PT;43.56 N ;10.55 E ;0
Pordenone;PN;45.57 N ;12.39 E ;0
Potenza;PZ;40.38 N ;15.49 E ;1
Prato;PO;43.53 N ;-11.06 E;0
Ragusa;RG;36.56 N ;-14.44 E;0
Ravenna;RA;44.25 N;12.12 E;0
Reggio Calabria;RC;38.06 N ;15.39 E ;0
Reggio Emilia;RE;44.42 N ;10.38 E ;0
Rieti;RI;42.22 N ;12.52 E ;0
Rimini;RN;44.04 N ;12.34 E ;0
Roma;Roma;41.54 N ;12.29 E ;1
Rovigo;RO;45.04 N ;11.48 E ;0
Salerno;SA;40.41 N ;14.46 E ;0
Sassari;SA;40.43 N ;08.34 E ;0
Savona;SV;44.19 N ;08.28 E ;0
Siena;SI;43.19 N ;11.18 E ;0
Siracusa;SR;37.04 N ;15.17 E;0
Sondrio;SO;46.11 N ;09.53 E ;0
Taranto;TA;40.28 N ;17.14 E ;0
Teramo;TE;42.40 N ;13.43 E ;0
Terni;TR;42.34 N ;12.40 E ;0
Torino;TO;45.04 N ;07.42 E ;1
Trapani;TP;38.01 N ;12.32 E ;0
Trento;TN;46.04 N ;11.08 E ;1
Treviso;TV;45.40 N ;12.15 E ;0
Trieste;TS;45.39 N ;13.46 E ;1
Udine;UD;46.04 N ;13.14 E ;0
Varese;VA;45.50 N ;08.49 E ;0
Venezia;VE;45.26 N ;12.21 E ;1
Verbania;VB;45.56 N ;08.33 E ;0
Vercelli;VC;45.20 N ;08.25 E ;0
Verona;VR;45.27 N ;11.00 E ;0
Vibo Valentia;VV;38.40 N ;16.06 E ;0
Vicenza;VI;45.33 N ;11.33 E ;0
Viterbo;VT;42.33 N ;12.07 E ;0
